,,iteration 1,,,iteration 2,,,iteration 3,,,iteration 4,,
nr,title,PPs,priority,status,PPs,priority,status,PPs,priority,status,PPs,priority,status
1,Build GUI,4,M,done,,,,,,,,,
2,Design GUI,4,M,done,,,,,,,,,
3,Create use case diagram,2,M,done,,,,,,,,,
4,Write use case descriptions,2,M,done,,,,,,,,,
5,Scheduling tools,,C,open,,,,,,,,,
6,Write code to upload fasta file,4,S,busy,,,,,,,,,
7,Create input field for sequence,2,M,done,,,,,,,,,
8,Write code to upload database (or select one of many default),4,S,busy,,,,,,,,,
9,Write functions to perform statistics over input sequence,4,M,busy,,,,,,,,,
10,Write code to write BLAST output to file,,S,open,,,,,,,,,
11,Create display to Interact with output statistics ,,W,open,,,,,,,,,
12,Write code to recommend future research options ,,W,open,,,,,,,,,
